"filename", "language", "HTML", "TypeScript", "CSS", "JSON", "MDX", "XML", "comment", "blank", "total"
"d:\Angular_App\Markdown_Storybook\src\app\app-routing.module.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\Angular_App\Markdown_Storybook\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Angular_App\Markdown_Storybook\src\app\app.component.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\app\app.component.spec.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 5, 30
"d:\Angular_App\Markdown_Storybook\src\app\app.component.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\Angular_App\Markdown_Storybook\src\app\app.module.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 3, 27
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.component.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 4, 21
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.component.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 12, 32
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.stories.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 5, 8, 56
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.component.html", "HTML", 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 5, 22
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.component.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.stories.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 5, 8, 56
"d:\Angular_App\Markdown_Storybook\src\app\task\task.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Angular_App\Markdown_Storybook\src\app\task\task.component.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Angular_App\Markdown_Storybook\src\app\task\task.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 5, 22
"d:\Angular_App\Markdown_Storybook\src\app\task\task.component.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 2, 3, 19
"d:\Angular_App\Markdown_Storybook\src\app\task\task.mdx", "MDX", 0, 0, 0, 0, 11, 0, 0, 7, 18
"d:\Angular_App\Markdown_Storybook\src\app\task\task.stories.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 4, 9, 65
"d:\Angular_App\Markdown_Storybook\src\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Angular_App\Markdown_Storybook\src\main.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 4, 8
"d:\Angular_App\Markdown_Storybook\src\stories\.eslintrc.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\Angular_App\Markdown_Storybook\src\stories\Button.stories.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 2, 7, 52
"d:\Angular_App\Markdown_Storybook\src\stories\Header.stories.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 2, 6, 38
"d:\Angular_App\Markdown_Storybook\src\stories\Introduction.mdx", "MDX", 0, 0, 0, 0, 191, 0, 0, 23, 214
"d:\Angular_App\Markdown_Storybook\src\stories\Page.stories.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 2, 6, 47
"d:\Angular_App\Markdown_Storybook\src\stories\User.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 1, 1, 3
"d:\Angular_App\Markdown_Storybook\src\stories\assets\code-brackets.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\colors.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\comments.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\direction.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\flow.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\plugin.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\repo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\stackalt.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\button.component.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 17, 8, 56
"d:\Angular_App\Markdown_Storybook\src\stories\button.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 1, 31
"d:\Angular_App\Markdown_Storybook\src\stories\header.component.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 5, 76
"d:\Angular_App\Markdown_Storybook\src\stories\header.css", "CSS", 0, 0, 28, 0, 0, 0, 0, 5, 33
"d:\Angular_App\Markdown_Storybook\src\stories\page.component.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 5, 78
"d:\Angular_App\Markdown_Storybook\src\stories\page.css", "CSS", 0, 0, 60, 0, 0, 0, 0, 10, 70
"d:\Angular_App\Markdown_Storybook\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 34, 589, 118, 5, 202, 8, 41, 167, 1164